Method,Accuracy,F1,Sensitivity,Specificity,Precision,Composite_Score
Polynomial baseline,0.6153846153846154,0.575933140933141,0.5888888888888888,0.9242424238147382,0.6287698412698413,0.6485453203561675
No correction,0.5615384615384615,0.5214444814444815,0.5305555555555556,0.9136363632134987,0.5582407407407407,0.5995173298289002
Rubberband,0.5615384615384615,0.5254473304473304,0.5305555555555556,0.9136363632134985,0.5316666666666666,0.5991893383759086
ALS,0.5538461538461539,0.5141316091316092,0.5222222222222221,0.9121212116990358,0.5714285714285714,0.593794307480981
arPLS,0.5538461538461539,0.5145141895141896,0.5222222222222223,0.9121212116990358,0.5605952380952381,0.5933482859099596
airPLS,0.49230769230769234,0.4316744366744367,0.4638888888888889,0.8999999995833333,0.4506084656084656,0.5319554426429428
