Model,Accuracy,F1_Macro,Sensitivity,Specificity,Precision,Composite_Score
Support Vector Machine,0.6692307692307693,0.6318374218374219,0.6444444444444445,0.9348484844159779,0.6499999999999999,0.6950456024807264
Logistic Regression,0.6538461538461539,0.6147643097643097,0.6277777777777778,0.9318181813870524,0.6572222222222222,0.6820300439653746
SIMCA (PCA-Based),0.6076923076923076,0.5088816738816739,0.5777777777777777,0.9227272723002754,0.5041847041847042,0.6205823342682848
Linear Discriminant Analysis,0.5846153846153846,0.5438648388648388,0.5527777777777778,0.9181818177568871,0.5875,0.6198313028925634
Random Forest,0.5846153846153845,0.5378282828282829,0.55,0.9181818177568871,0.5570634920634921,0.6163836718199321
PLS-DA (Auto-Tuned),0.5846153846153845,0.5321933621933622,0.5555555555555556,0.918181817756887,0.544047619047619,0.6151574813437417
