Pipeline_Combination,Accuracy,F1_Macro,Sensitivity,Specificity,Precision,Optimization_Score
Baseline + SNV,0.6461538461538462,0.6062457912457913,0.6194444444444444,0.9303030298725895,0.6516666666666667,0.6750684407538746
Baseline Only,0.6153846153846154,0.575933140933141,0.5888888888888888,0.9242424238147382,0.6287698412698413,0.6485453203561675
Baseline + MSC,0.6153846153846153,0.5708008658008658,0.5888888888888889,0.9242424238147382,0.5984920634920635,0.6457483626842099
Baseline + SNV + SG Smoothing,0.5692307692307692,0.5334511784511784,0.5361111111111112,0.9151515147279614,0.5605555555555555,0.6067722739587409
"Baseline + SG Smoothing (W=15, P=2)",0.5615384615384615,0.5212746512746513,0.5333333333333333,0.9136363632134987,0.5525396825396826,0.5996064860430564
"Baseline + SG 1st Deriv (W=11, P=2)",0.5153846153846154,0.47238335738335735,0.4805555555555556,0.9045454541267219,0.5109126984126984,0.557560471872662
"Baseline + SG 2nd Deriv (W=11, P=3)",0.48461538461538456,0.4307929107929108,0.4444444444444445,0.8981818177661296,0.476468253968254,0.5267617335743804
